locus,adaptive,olga
TRBV,TCRBV01-01,TRBV1
TRBV,TCRBV02-01,TRBV2
TRBV,TCRBV03-01,TRBV3-1
TRBV,TCRBV03-02,TRBV3-2
TRBV,TCRBV04-01,TRBV4-1
TRBV,TCRBV04-02,TRBV4-2
TRBV,TCRBV04-03,TRBV4-3
TRBV,TCRBV05-01,TRBV5-1
TRBV,TCRBV05-02,
TRBV,TCRBV05-03,TRBV5-3
TRBV,TCRBV05-04,TRBV5-4
TRBV,TCRBV05-05,TRBV5-5
TRBV,TCRBV05-06,TRBV5-6
TRBV,TCRBV05-07,TRBV5-7
TRBV,TCRBV05-08,TRBV5-8
TRBV,TCRBV06-01,TRBV6-1
TRBV,,TRBV6-2
TRBV,,TRBV6-3
TRBV,TCRBV06-04,TRBV6-4
TRBV,TCRBV06-05,TRBV6-5
TRBV,TCRBV06-06,TRBV6-6
TRBV,TCRBV06-07,TRBV6-7
TRBV,TCRBV06-08,TRBV6-8
TRBV,TCRBV06-09,TRBV6-9
TRBV,TCRBV07-01,TRBV7-1
TRBV,TCRBV07-02,TRBV7-2
TRBV,TCRBV07-03,TRBV7-3
TRBV,TCRBV07-04,TRBV7-4
TRBV,TCRBV07-05,
TRBV,TCRBV07-06,TRBV7-6
TRBV,TCRBV07-07,TRBV7-7
TRBV,TCRBV07-08,TRBV7-8
TRBV,TCRBV07-09,TRBV7-9
TRBV,TCRBV08-02,
TRBV,TCRBV09-01,TRBV9
TRBV,TCRBVA-or09_02,
TRBV,TCRBV10-01,TRBV10-1
TRBV,TCRBV10-02,TRBV10-2
TRBV,TCRBV10-03,TRBV10-3
TRBV,TCRBV11-01,TRBV11-1
TRBV,TCRBV11-02,TRBV11-2
TRBV,TCRBV11-03,TRBV11-3
TRBV,TCRBV12-01,TRBV12-1
TRBV,TCRBV12-02,TRBV12-2
TRBV,,TRBV12-3
TRBV,,TRBV12-4
TRBV,TCRBV12-05,TRBV12-5
TRBV,TCRBV13-01,TRBV13
TRBV,TCRBV14-01,TRBV14
TRBV,TCRBV15-01,TRBV15
TRBV,TCRBV16-01,TRBV16
TRBV,,TRBV17
TRBV,TCRBV18-01,TRBV18
TRBV,TCRBV19-01,TRBV19
TRBV,TCRBV20-01,TRBV20-1
TRBV,TCRBV21-01,
TRBV,TCRBV22-01,
TRBV,TCRBV23-01,TRBV23-1
TRBV,TCRBV23-or09_02,
TRBV,,TRBV24-1
TRBV,TCRBV25-01,TRBV25-1
TRBV,,TRBV26
TRBV,TCRBV27-01,TRBV27
TRBV,TCRBV28-01,TRBV28
TRBV,TCRBV29-01,TRBV29-1
TRBV,TCRBV30-01,TRBV30
TRBJ,TCRBJ01-01,TRBJ1-1
TRBJ,TCRBJ01-02,TRBJ1-2
TRBJ,TCRBJ01-03,TRBJ1-3
TRBJ,TCRBJ01-04,TRBJ1-4
TRBJ,TCRBJ01-05,TRBJ1-5
TRBJ,TCRBJ01-06,TRBJ1-6
TRBJ,,TRBJ1-7
TRBJ,TCRBJ02-01,TRBJ2-1
TRBJ,TCRBJ02-02,TRBJ2-2
TRBJ,TCRBJ02-03,TRBJ2-3
TRBJ,TCRBJ02-04,TRBJ2-4
TRBJ,TCRBJ02-05,TRBJ2-5
TRBJ,TCRBJ02-06,TRBJ2-6
TRBJ,TCRBJ02-07,TRBJ2-7
